SL,District,Upazila,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
115,Bandarban,Thanchi,115,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Gangamachhara,গঙ্গামাছড়া,MAI405,22.986269,91.990009,190,,,,,,,,,,,,,,,,,,,,
116,Bandarban,Thanchi,116,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Deppochhari,ডেপ্পোছড়ি,MAI406,22.992755,91.994150,65,,,,,,,,,,,,,,,,,,,,
117,Bandarban,Thanchi,117,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Monghla Para,মংহ্লা পাড়া,MAI407,22.979981,91.990079,155,,,,,,,,,,,,,,,,,,,,
118,Bandarban,Thanchi,118,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Petuk Para,পেতুক পাড়া,MAI408,22.961762,91.997274,40,,,,,,,,,,,,,,,,,,,,
119,Bandarban,Thanchi,119,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Manikchhari Para,মানিকছড়ি পাড়া,MAI409,23.005261,92.007755,150,,,,,,,,,,,,,,,,,,,,
120,Bandarban,Thanchi,120,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Dakkhin Joysen Para,দক্ষিণ জয়সেন পাড়া,MAI410,23.000752,92.000695,110,,,,,,,,,,,,,,,,,,,,
121,Bandarban,Thanchi,121,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Pachai Karbari Para,পচাই কারবারি পাড়া,MAI411,23.007023,92.021126,240,,,,,,,,,,,,,,,,,,,,
122,Bandarban,Thanchi,122,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Chairman Para,চেয়ারম্যান পাড়া,MAI412,23.003741,92.016624,110,,,,,,,,,,,,,,,,,,,,
123,Bandarban,Thanchi,123,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,04,,,,Balaram Master Para,বলরাম মাস্টার পাড়া,MAI413,23.007573,92.019460,160,,,,,,,,,,,,,,,,,,,,
124,Bandarban,Thanchi,124,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,05,,,,Manikchhari Muslim Para,মানিকছড়ি মুসলিম পাড়া,MAI501,22.999315,92.011460,1500,,,,,,,,,,,,,,,,,,,,
125,Bandarban,Thanchi,125,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,05,,,,Pagajyachhari Jantranath Karbari Para,পাগজ্যাছড়ি যন্ত্রনাথ কারবারি পাড়া,MAI502,22.996681,92.025083,270,,,,,,,,,,,,,,,,,,,,
126,Bandarban,Thanchi,126,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,05,,,,Jamtali,জামতলী,MAI503,22.990992,92.014463,210,,,,,,,,,,,,,,,,,,,,
127,Bandarban,Thanchi,127,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,05,,,,Pakijachhari Bhitar Para,পাকিজাছড়ি ভিতর পাড়া,MAI504,22.993030,92.006031,300,,,,,,,,,,,,,,,,,,,,
128,Bandarban,Thanchi,128,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,05,,,,Patha Para,পথা পাড়া,MAI505,22.997250,92.018846,125,,,,,,,,,,,,,,,,,,,,
129,Bandarban,Thanchi,129,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,06,,,,Pakijachhari Guchchhagram,পাকিজাছড়ি গুচ্ছগ্রাম,MAI601,22.995612,92.021628,650,,,,,,,,,,,,,,,,,,,,
130,Bandarban,Thanchi,130,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,06,,,,Pakijachhari Lamba Para,পাকিজাছড়ি লাম্বা পাড়া,MAI602,22.988909,92.020855,345,,,,,,,,,,,,,,,,,,,,
131,Bandarban,Thanchi,131,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,06,,,,Kalopahar,কালোপাহাড়,MAI603,22.987325,92.014416,390,,,,,,,,,,,,,,,,,,,,
132,Bandarban,Thanchi,132,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,06,,,,Pakijachhari APBN Camp,পাকিজাছড়ি এপিবিএন ক্যাম্প,MAI604,22.997963,92.023427,,,,,,,,,,,,,,,,,,,,,
133,Bandarban,Thanchi,133,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,07,,,,Madhya Lemuchhari,মধ্য লেমুছড়ি ,MAI701,22.982410,92.001009,275,,,,,,,,,,,,,,,,,,,,
134,Bandarban,Thanchi,134,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,07,,,,Badanala,বদানালা,MAI702,22.978927,92.012689,475,,,,,,,,,,,,,,,,,,,,
135,Bandarban,Thanchi,135,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,07,,,,Lemuchhari Shantipur,লেমুছড়ি শান্তিপুর,MAI703,22.972424,92.015579,1250,,,,,,,,,,,,,,,,,,,,
136,Bandarban,Thanchi,136,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,08,,,,Lemuchhari Binod Lal Karbari Para,লেমুছড়ি বিনোদ লাল কারবারি পাড়া,MAI801,22.968431,92.021087,410,,,,,,,,,,,,,,,,,,,,
137,Bandarban,Thanchi,137,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,08,,,,Lemuchhari Cutingtila,লেমুছড়ি কাটিংটিলা,MAI802,22.961313,92.021651,350,,,,,,,,,,,,,,,,,,,,
138,Bandarban,Thanchi,138,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,09,,,,Pashchim Kiyangghat,পশ্চিম ক্য়ায়াংঘাট,MAI901,22.983314,92.021788,350,,,,,,,,,,,,,,,,,,,,
139,Bandarban,Thanchi,139,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Maischhari,09,,,,Golak Para,গোলক পাড়া,MAI902,22.968354,91.987774,340,,,,,,,,,,,,,,,,,,,,
140,Bandarban,Thanchi,140,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,01,,,,Mahamuni Para,মহামুনি পাড়া,MUB101,22.935670,92.049305,800,,,,,,,,,,,,,,,,,,,,
141,Bandarban,Thanchi,141,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,01,,,,Kaptai Para,কাপ্তাই পাড়া,MUB102,22.934265,92.043608,550,,,,,,,,,,,,,,,,,,,,
142,Bandarban,Thanchi,142,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,01,,,,Bridge Para,ব্রিজ পাড়া,MUB103,22.932226,92.037653,200,,,,,,,,,,,,,,,,,,,,
143,Bandarban,Thanchi,143,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,01,,,,Noa Para,নোয়া পাড়া,MUB104,22.936568,92.052215,175,,,,,,,,,,,,,,,,,,,,
144,Bandarban,Thanchi,144,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,02,,,,Headman Para,হেডম্যান পাড়া,MUB201,22.938407,92.054733,800,,,,,,,,,,,,,,,,,,,,
145,Bandarban,Thanchi,145,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,02,,,,Shanti Para,শান্তি পাড়া,MUB202,22.934498,92.052442,100,,,,,,,,,,,,,,,,,,,,
146,Bandarban,Thanchi,146,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,03,,,,Khayangsa Para,খ্যাংসা পাড়া,MUB301,22.948340,92.056889,575,,,,,,,,,,,,,,,,,,,,
147,Bandarban,Thanchi,147,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,03,,,,Kulki Para,কুলকি পাড়া,MUB302,22.949428,92.062207,130,,,,,,,,,,,,,,,,,,,,
148,Bandarban,Thanchi,148,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,03,,,,Machine Para,মেশিন পাড়া,MUB303,22.944787,92.060472,85,,,,,,,,,,,,,,,,,,,,
149,Bandarban,Thanchi,149,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,03,,,,Adufa Para,আদুফা পাড়া,MUB304,22.954493,92.070712,375,,,,,,,,,,,,,,,,,,,,
150,Bandarban,Thanchi,150,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,03,,,,Pilot Para,পাইলট পাড়া,MUB305,22.946568,92.059316,50,,,,,,,,,,,,,,,,,,,,
151,Bandarban,Thanchi,151,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,04,,,,Manatek,মনাটেক,MUB401,22.926235,92.054513,625,,,,,,,,,,,,,,,,,,,,
152,Bandarban,Thanchi,152,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,05,,,,Karalyachhari,করল্যাছড়ি,MUB501,22.934473,92.069400,800,,,,,,,,,,,,,,,,,,,,
153,Bandarban,Thanchi,153,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,06,,,,Madhya Adam Para,মধ্য আদম পাড়া,MUB601,22.939229,92.081117,250,,,,,,,,,,,,,,,,,,,,
154,Bandarban,Thanchi,154,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,06,,,,Dewan Para,দেওয়ান পাড়া,MUB602,22.944384,92.092952,400,,,,,,,,,,,,,,,,,,,,
155,Bandarban,Thanchi,155,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,06,,,,Shilban Para,শীলবান পাড়া,MUB603,22.961188,92.104277,210,,,,,,,,,,,,,,,,,,,,
156,Bandarban,Thanchi,156,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,06,,,,Khamar Para,খামার পাড়া,MUB604,22.949444,92.078416,165,,,,,,,,,,,,,,,,,,,,
157,Bandarban,Thanchi,157,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,07,,,,Khunglyang Para,খুংল্যাং পাড়া,MUB701,22.958272,92.062489,600,,,,,,,,,,,,,,,,,,,,
158,Bandarban,Thanchi,158,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,07,,,,Bagh Mara,বাঘ মারা,MUB702,22.961760,92.056421,400,,,,,,,,,,,,,,,,,,,,
159,Bandarban,Thanchi,159,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,07,,,,Uttar Bagh Mara,উত্তর বাঘ মারা,MUB703,22.968082,92.059113,150,,,,,,,,,,,,,,,,,,,,
160,Bandarban,Thanchi,160,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,07,,,,Dhanpata Para,ধনপাতা পাড়া,MUB704,22.965864,92.049079,250,,,,,,,,,,,,,,,,,,,,
161,Bandarban,Thanchi,161,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,08,,,,Khularam Para,খুলারাম পাড়া,MUB801,22.965238,92.070215,1300,,,,,,,,,,,,,,,,,,,,
162,Bandarban,Thanchi,162,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,09,,,,Haza Chhara,হাজা ছড়া,MUB901,22.981912,92.073546,260,,,,,,,,,,,,,,,,,,,,
163,Bandarban,Thanchi,163,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,09,,,,Kalbanya,কলবন্যা,MUB902,22.986386,92.082787,65,,,,,,,,,,,,,,,,,,,,
164,Bandarban,Thanchi,164,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,09,,,,Lungdukya Para,লুংদুক্যা পাড়া,MUB903,22.976454,92.086873,130,,,,,,,,,,,,,,,,,,,,
165,Bandarban,Thanchi,165,Bangladesh,Chattogram,Khagrachhari,Mahalchhari,Mubachhari,09,,,,Laba Para,লবা পাড়া,MUB904,22.983639,92.095530,240,,,,,,,,,,,,,,,,,,,,
