SL,District,Upazila,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
121,Bandarban,Thanchi,121,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Japarang Para,জাপারাং পাড়া,REM905,21.545701,92.566441,325,,,,,,,,,,,,,,,,,,,,
122,Bandarban,Thanchi,122,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Krahlang Para,ক্রাহ্লাঅং পাড়া,REM906,21.540792,92.554809,92,,,,,,,,,,,,,,,,,,,,
123,Bandarban,Thanchi,123,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Jogisa Tripura Para,যোগিসিয়া ত্রিপুরা পাড়া,REM907,21.513211,92.590902,168,,,,,,,,,,,,,,,,,,,,
124,Bandarban,Thanchi,124,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Parao Mro Para,পারাও ম্রো পাড়া,REM908,21.489897,92.591010,40,,,,,,,,,,,,,,,,,,,,
125,Bandarban,Thanchi,125,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Choikkhyang Monindra Para,চইকক্ষ্যং মনিন্দ্র পাড়া,REM909,21.460305,92.584989,300,,,,,,,,,,,,,,,,,,,,
126,Bandarban,Thanchi,126,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Trimoti/ Dungkhi Para,ত্রিমোতি/ডুংখী পাড়া,REM910,21.443734,92.591145,65,,,,,,,,,,,,,,,,,,,,
127,Bandarban,Thanchi,127,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Oyenoye Lengpong Para,ওয়েনোয়ে লেংপং পাড়া,REM911,21.427640,92.584771,30,,,,,,,,,,,,,,,,,,,,
128,Bandarban,Thanchi,128,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Malungya Chappachara Para,মালুংগ্যা ছাপ্পাছড়া পাড়া,REM912,21.404962,92.604477,150,,,,,,,,,,,,,,,,,,,,
129,Bandarban,Thanchi,129,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Jungchara Para,জংছড়া পাড়া,REM913,21.386670,92.604184,30,,,,,,,,,,,,,,,,,,,,
130,Bandarban,Thanchi,130,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Tangkhuing Para,তাংখুইং পাড়া,REM914,21.376265,92.604731,75,,,,,,,,,,,,,,,,,,,,
131,Bandarban,Thanchi,131,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Phakoyaingkhiong Para,ফাকওয়াইংক্ষ্যাৎ পাড়া,REM915,21.373564,92.602456,95,,,,,,,,,,,,,,,,,,,,
132,Bandarban,Thanchi,132,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Yong Dong Para,ইয়ং ডং পাড়া,REM916,21.365298,92.603958,93,,,,,,,,,,,,,,,,,,,,
133,Bandarban,Thanchi,133,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Kwaingkhyang (Panjhiri) Para,কোয়াইংক্ষ্যাং (পানঝিড়ি) পাড়া ,REM917,21.346439,92.606622,265,,,,,,,,,,,,,,,,,,,,
134,Bandarban,Thanchi,134,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Napraitong Andarmanik BGB Camp,নাপ্রাইতং আন্দারমানিক বিজিবি ক্যাম্প,REM918,21.527453,92.589215,,,,,,,,,,,,,,,,,,,,,
135,Bandarban,Thanchi,135,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Remakri BGB Camp,রেমাক্রি বিজিবি ক্যাম্প,REM919,21.477939,92.591824,,,,,,,,,,,,,,,,,,,,,
136,Bandarban,Thanchi,136,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Waingraing BGB Camp,ওয়াইংগ্রাইং বিজিবি ক্যাম্প,REM920,21.434561,92.591776,,,,,,,,,,,,,,,,,,,,,
137,Bandarban,Thanchi,137,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Chhappachara BGB Camp,ছাপ্পাছড়া বিজিবি ক্যাম্প,REM921,21.402373,92.608726,,,,,,,,,,,,,,,,,,,,,
138,Bandarban,Thanchi,138,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Panjhiri BGB Camp,পানঝিড়ি বিজিবি ক্যাম্প,REM922,21.349589,92.606916,,,,,,,,,,,,,,,,,,,,,
139,Bandarban,Thanchi,139,Bangladesh,Chattogram,Bandarban,Thanchi,Remakri,09,,,,Undefined,নামহীন,REM923,21.457938,92.610037,,,,,,,,,,,,,,,,,,,,,
140,Bandarban,Thanchi,140,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Bangyak Headman Para,বংয়ক হেডম্যান পাড়া,THA101,21.822519,92.439456,128,,,,,,,,,,,,,,,,,,,,
141,Bandarban,Thanchi,141,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Sadhu Joseph Para,সাধু যোসেফ পাড়া,THA102,21.825669,92.439079,168,,,,,,,,,,,,,,,,,,,,
142,Bandarban,Thanchi,142,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Mariam Para,মরিয়ম পাড়া,THA103,21.825961,92.436942,128,,,,,,,,,,,,,,,,,,,,
143,Bandarban,Thanchi,143,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Robert Para,রর্বাট পাড়া,THA104,21.832741,92.437053,152,,,,,,,,,,,,,,,,,,,,
144,Bandarban,Thanchi,144,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Subraini Para,সুঁব্রাইনি পাড়া,THA105,21.832787,92.432921,72,,,,,,,,,,,,,,,,,,,,
145,Bandarban,Thanchi,145,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Aprumang Para,আপ্রুমং পাড়া,THA106,21.832658,92.427881,192,,,,,,,,,,,,,,,,,,,,
146,Bandarban,Thanchi,146,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Naktoha Para,নকতোহা পাড়া,THA107,21.836307,92.447686,184,,,,,,,,,,,,,,,,,,,,
147,Bandarban,Thanchi,147,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Mayaram Para,মায়ারাম পাড়া,THA108,21.843465,92.439160,92,,,,,,,,,,,,,,,,,,,,
148,Bandarban,Thanchi,148,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Hanarang Para,হানারং পাড়া,THA109,21.856646,92.456406,92,,,,,,,,,,,,,,,,,,,,
149,Bandarban,Thanchi,149,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Muikhoy Para,মুইখয় পাড়া,THA110,21.849796,92.424960,72,,,,,,,,,,,,,,,,,,,,
150,Bandarban,Thanchi,150,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Thanchi Bazar Para,থানচি বাজার পাড়া,THA111,21.816582,92.439114,1120,,,,,,,,,,,,,,,,,,,,
151,Bandarban,Thanchi,151,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Chaiyang Para,চাইয়াং পাড়া,THA112,21.829390,92.447970,88,,,,,,,,,,,,,,,,,,,,
152,Bandarban,Thanchi,152,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,01,,,,Donroy Para,দনরয় পাড়া,THA113,21.851082,92.483515,160,,,,,,,,,,,,,,,,,,,,
153,Bandarban,Thanchi,153,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,Owak Para,ওয়াক পাড়া,THA201,21.823585,92.452436,64,,,,,,,,,,,,,,,,,,,,
154,Bandarban,Thanchi,154,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,Chakku Para,চাক্কু পাড়া,THA202,21.822517,92.456554,96,,,,,,,,,,,,,,,,,,,,
155,Bandarban,Thanchi,155,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,Tuktang Para,তুকটং পাড়া,THA203,21.812532,92.458373,128,,,,,,,,,,,,,,,,,,,,
156,Bandarban,Thanchi,156,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,T&T Para,টি এন্ড টি পাড়া,THA204,21.813091,92.439994,214,,,,,,,,,,,,,,,,,,,,
157,Bandarban,Thanchi,157,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,Chandak Para,ছান্দাক পাড়া,THA205,21.809038,92.439779,264,,,,,,,,,,,,,,,,,,,,
158,Bandarban,Thanchi,158,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,Sangyang Para,সাংয়াং পাড়া,THA206,21.847528,92.475274,112,,,,,,,,,,,,,,,,,,,,
159,Bandarban,Thanchi,159,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,02,,,,Thawai Para,থাওয়াই পাড়া,THA207,21.845453,92.475032,80,,,,,,,,,,,,,,,,,,,,
160,Bandarban,Thanchi,160,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Shahajahan Para,শাহাজান পাড়া,THA301,21.806678,92.441970,112,,,,,,,,,,,,,,,,,,,,
161,Bandarban,Thanchi,161,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Jiniaung Para,জিনিঅং পাড়া,THA302,21.794738,92.437480,224,,,,,,,,,,,,,,,,,,,,
162,Bandarban,Thanchi,162,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Tongkhyong Para,তংক্ষ্যং পাড়া,THA303,21.793946,92.461761,184,,,,,,,,,,,,,,,,,,,,
163,Bandarban,Thanchi,163,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Singchang Para,সিংচং পাড়া,THA304,21.800867,92.462944,92,,,,,,,,,,,,,,,,,,,,
164,Bandarban,Thanchi,164,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Nilot Para,নিলট পাড়া,THA305,21.772756,92.449637,64,,,,,,,,,,,,,,,,,,,,
165,Bandarban,Thanchi,165,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Menkam Para,মেনকম পাড়া,THA306,21.771363,92.452036,20,,,,,,,,,,,,,,,,,,,,
166,Bandarban,Thanchi,166,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Preaosin Para,প্রেওসিন পাড়া,THA307,21.781564,92.454665,92,,,,,,,,,,,,,,,,,,,,
167,Bandarban,Thanchi,167,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Chami Para,চমি পাড়া,THA308,21.781535,92.473487,92,,,,,,,,,,,,,,,,,,,,
168,Bandarban,Thanchi,168,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,03,,,,Gnuikhay Para,ঙুইখয় পাড়া,THA309,21.767291,92.467681,72,,,,,,,,,,,,,,,,,,,,
169,Bandarban,Thanchi,169,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,04,,,,Naidari Para,নাইদারী পাড়া,THA401,21.819739,92.427352,232,,,,,,,,,,,,,,,,,,,,
170,Bandarban,Thanchi,170,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,04,,,,Amtali Para,আমতলী পাড়া,THA402,21.817354,92.434943,240,,,,,,,,,,,,,,,,,,,,
171,Bandarban,Thanchi,171,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,04,,,,Rengnong Para,রেংনং পাড়া,THA403,21.811575,92.406766,64,,,,,,,,,,,,,,,,,,,,
172,Bandarban,Thanchi,172,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,04,,,,Fektui Para,ফেকতুই পাড়া,THA404,21.808282,92.410139,40,,,,,,,,,,,,,,,,,,,,
173,Bandarban,Thanchi,173,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,04,,,,Chicha Para,চিচা পাড়া,THA405,21.811578,92.401200,24,,,,,,,,,,,,,,,,,,,,
174,Bandarban,Thanchi,174,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,05,,,,Ushamong Headman Para,উষামং হেডম্যান পাড়া,THA501,21.808625,92.433113,440,,,,,,,,,,,,,,,,,,,,
175,Bandarban,Thanchi,175,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,05,,,,Naribel Para,নারিবেল পাড়া,THA502,21.790635,92.434355,184,,,,,,,,,,,,,,,,,,,,
176,Bandarban,Thanchi,176,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,05,,,,Khibuhi Para,খিবুহী পাড়া,THA503,21.785219,92.439695,72,,,,,,,,,,,,,,,,,,,,
177,Bandarban,Thanchi,177,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,05,,,,Rumbet Para,রুমবেট পাড়া,THA504,21.790877,92.420724,72,,,,,,,,,,,,,,,,,,,,
178,Bandarban,Thanchi,178,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,05,,,,Angmpu Para,অংম্পু পাড়া,THA505,21.784600,92.421572,96,,,,,,,,,,,,,,,,,,,,
179,Bandarban,Thanchi,179,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,05,,,,Anggangkta Para,আংঙাংক্ত পাড়া,THA506,21.795844,92.403549,24,,,,,,,,,,,,,,,,,,,,
180,Bandarban,Thanchi,180,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Niabut Para,নিয়াবুট পাড়া,THA601,21.770445,92.422561,56,,,,,,,,,,,,,,,,,,,,
181,Bandarban,Thanchi,181,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Renghin Para,রেংহিন পাড়া,THA602,21.758668,92.431634,112,,,,,,,,,,,,,,,,,,,,
182,Bandarban,Thanchi,182,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Yanghrese Para,য়াংহ্রেসে পাড়া,THA603,21.772253,92.441617,12,,,,,,,,,,,,,,,,,,,,
183,Bandarban,Thanchi,183,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Kalai Para,কলাই পাড়া,THA604,21.751997,92.438069,72,,,,,,,,,,,,,,,,,,,,
184,Bandarban,Thanchi,184,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Mangkratta Para,মাংক্রাত্ত পাড়া,THA605,21.746682,92.419715,32,,,,,,,,,,,,,,,,,,,,
185,Bandarban,Thanchi,185,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Krongsing Para,ক্রংসিং পাড়া,THA606,21.765061,92.416841,32,,,,,,,,,,,,,,,,,,,,
186,Bandarban,Thanchi,186,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,06,,,,Bramong Para,ব্রামং পাড়া,THA607,21.751029,92.452409,48,,,,,,,,,,,,,,,,,,,,
187,Bandarban,Thanchi,187,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Hapru Para,হাপরু পাড়া,THA701,21.778916,92.481811,112,,,,,,,,,,,,,,,,,,,,
188,Bandarban,Thanchi,188,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Kaiso Para,কাইসো পাড়া,THA702,21.797002,92.486338,56,,,,,,,,,,,,,,,,,,,,
189,Bandarban,Thanchi,189,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Menthom Para,মেনথম পাড়া,THA703,21.800999,92.490933,20,,,,,,,,,,,,,,,,,,,,
190,Bandarban,Thanchi,190,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Jalu Para,জলু পাড়া,THA704,21.776951,92.510566,64,,,,,,,,,,,,,,,,,,,,
191,Bandarban,Thanchi,191,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Langrung Para,লাংরুং পাড়া,THA705,21.778255,92.496529,88,,,,,,,,,,,,,,,,,,,,
192,Bandarban,Thanchi,192,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Datang Para,দতং পাড়া,THA706,21.792911,92.530783,64,,,,,,,,,,,,,,,,,,,,
193,Bandarban,Thanchi,193,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,07,,,,Bulum Para,বুলুম পাড়া,THA707,21.802998,92.558361,72,,,,,,,,,,,,,,,,,,,,
194,Bandarban,Thanchi,194,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,08,,,,Boarding Para,বোর্ডিং পাড়া,THA801,21.812563,92.489656,112,,,,,,,,,,,,,,,,,,,,
195,Bandarban,Thanchi,195,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,08,,,,Kunglah Para,কুংলাহ পাড়া,THA802,21.833397,92.503366,56,,,,,,,,,,,,,,,,,,,,
196,Bandarban,Thanchi,196,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,08,,,,Kaitan Para,কাইতন পাড়া,THA803,21.832006,92.501788,128,,,,,,,,,,,,,,,,,,,,
197,Bandarban,Thanchi,197,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,08,,,,Niyau Para,নিয়াউ পাড়া,THA804,21.793465,92.499311,112,,,,,,,,,,,,,,,,,,,,
198,Bandarban,Thanchi,198,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,08,,,,Natun Para,নতুন পাড়া,THA805,21.821003,92.481774,48,,,,,,,,,,,,,,,,,,,,
199,Bandarban,Thanchi,199,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,08,,,,Rengyok Para,রেংয়ক পাড়া,THA806,21.800851,92.474597,32,,,,,,,,,,,,,,,,,,,,
200,Bandarban,Thanchi,200,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,09,,,,Simklangpi Para,সিমক্লাংপি পাড়া,THA901,21.828747,92.536118,88,,,,,,,,,,,,,,,,,,,,
201,Bandarban,Thanchi,201,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,09,,,,Sherkar Para,শেরকর পাড়া,THA902,21.808268,92.517366,104,,,,,,,,,,,,,,,,,,,,
202,Bandarban,Thanchi,202,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,09,,,,Thangdai Para,থাংদৈ পাড়া,THA903,21.825419,92.553052,72,,,,,,,,,,,,,,,,,,,,
203,Bandarban,Thanchi,203,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,09,,,,Prata Para,প্রাতা পাড়া,THA904,21.846297,92.524412,72,,,,,,,,,,,,,,,,,,,,
204,Bandarban,Thanchi,204,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,09,,,,Nayacharan Para,নয়াচরন পাড়া,THA905,21.806442,92.572801,56,,,,,,,,,,,,,,,,,,,,
205,Bandarban,Thanchi,205,Bangladesh,Chattogram,Bandarban,Thanchi,Thanchi,09,,,,Thanchi Army Camp,থানচি আর্মি ক্যাম্প,THA906,21.849934,92.521966,,,,,,,,,,,,,,,,,,,,,
206,Bandarban,Thanchi,206,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Tindu Grouping Para,তিন্দু গ্রুপিং পাড়া,TIN101,21.722513,92.459926,416,,,,,,,,,,,,,,,,,,,,
207,Bandarban,Thanchi,207,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Amay Para,আমই পাড়া,TIN102,21.739086,92.442119,116,,,,,,,,,,,,,,,,,,,,
208,Bandarban,Thanchi,208,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Remabo Para,রেমাবো পাড়া,TIN103,21.735223,92.444595,56,,,,,,,,,,,,,,,,,,,,
209,Bandarban,Thanchi,209,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Aboya Para,আবোয়া পাড়া,TIN104,21.714058,92.437933,96,,,,,,,,,,,,,,,,,,,,
210,Bandarban,Thanchi,210,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Kaikya Para,কাইক্য পাড়া,TIN105,21.718493,92.436924,68,,,,,,,,,,,,,,,,,,,,
211,Bandarban,Thanchi,211,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Melenga Para,মেলেংগ্যা পাড়া,TIN106,21.715615,92.451901,96,,,,,,,,,,,,,,,,,,,,
212,Bandarban,Thanchi,212,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,01,,,,Tindu BGB Camp,তিন্দু বিজিবি ক্যাম্প,TIN107,21.723399,92.457573,,,,,,,,,,,,,,,,,,,,,
213,Bandarban,Thanchi,213,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Kauong Para,কৈাঅং পাড়া,TIN201,21.705265,92.450587,116,,,,,,,,,,,,,,,,,,,,
214,Bandarban,Thanchi,214,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Pau Para,পাউ পাড়া,TIN202,21.705863,92.478886,104,,,,,,,,,,,,,,,,,,,,
215,Bandarban,Thanchi,215,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Manglung Headman Para,মাংলুং হেডম্যান পাড়া,TIN203,21.708454,92.457923,124,,,,,,,,,,,,,,,,,,,,
216,Bandarban,Thanchi,216,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Kutli Para,কুটলি পাড়া,TIN204,21.714633,92.462175,28,,,,,,,,,,,,,,,,,,,,
217,Bandarban,Thanchi,217,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Chapai Para,ছাপাই পাড়া,TIN205,21.689988,92.469555,44,,,,,,,,,,,,,,,,,,,,
218,Bandarban,Thanchi,218,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Paring Para,পারিং পাড়া,TIN206,21.692047,92.457943,56,,,,,,,,,,,,,,,,,,,,
219,Bandarban,Thanchi,219,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,02,,,,Padui Para,পাদুই পাড়া,TIN207,21.668821,92.470685,44,,,,,,,,,,,,,,,,,,,,
220,Bandarban,Thanchi,220,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Chaithowaihla Para,চাইথোয়াইহ্লা পাড়া,TIN301,21.680190,92.519114,188,,,,,,,,,,,,,,,,,,,,
221,Bandarban,Thanchi,221,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Fosau Para,ফোসাউ পাড়া,TIN302,21.669103,92.518534,74,,,,,,,,,,,,,,,,,,,,
222,Bandarban,Thanchi,222,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Busing Para,বুসিং পাড়া,TIN303,21.665292,92.480298,28,,,,,,,,,,,,,,,,,,,,
223,Bandarban,Thanchi,223,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Angchung Para,অংচুং পাড়া,TIN304,21.659690,92.510324,68,,,,,,,,,,,,,,,,,,,,
224,Bandarban,Thanchi,224,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Thongya Para,থংএ পাড়া,TIN305,21.654470,92.482686,24,,,,,,,,,,,,,,,,,,,,
225,Bandarban,Thanchi,225,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Mangpre Para,মাংপ্রে পাড়া,TIN306,21.663985,92.513573,48,,,,,,,,,,,,,,,,,,,,
226,Bandarban,Thanchi,226,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,03,,,,Rankree Para,রেংক্রি পাড়া,TIN307,21.695569,92.497241,43,,,,,,,,,,,,,,,,,,,,
227,Bandarban,Thanchi,227,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,04,,,,Angthoyaipru Para,অংথো্য়াইপ্রু পাড়া,TIN401,21.759738,92.464997,96,,,,,,,,,,,,,,,,,,,,
228,Bandarban,Thanchi,228,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,04,,,,Kamsing Para,কামসিং পাড়া,TIN402,21.731227,92.471474,192,,,,,,,,,,,,,,,,,,,,
229,Bandarban,Thanchi,229,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,04,,,,Thanglong Para,থাংলং পাড়া,TIN403,21.750757,92.479133,120,,,,,,,,,,,,,,,,,,,,
230,Bandarban,Thanchi,230,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,04,,,,Mangsaching Para,মংসাচিং পাড়া,TIN404,21.752393,92.454590,68,,,,,,,,,,,,,,,,,,,,
231,Bandarban,Thanchi,231,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,04,,,,Hubai Para,হুব্‌ই পাড়া,TIN405,21.751448,92.480595,36,,,,,,,,,,,,,,,,,,,,
232,Bandarban,Thanchi,232,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,05,,,,Harishchandra Para,হরিশচন্দ্র পাড়া,TIN501,21.768151,92.498287,72,,,,,,,,,,,,,,,,,,,,
233,Bandarban,Thanchi,233,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,05,,,,Debsa Para,দেবসা পাড়া,TIN502,21.757234,92.507601,152,,,,,,,,,,,,,,,,,,,,
234,Bandarban,Thanchi,234,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,05,,,,Runajan Para,রুনাজন পাড়া,TIN503,21.763938,92.478467,160,,,,,,,,,,,,,,,,,,,,
235,Bandarban,Thanchi,235,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,06,,,,Vijayamoni Para and Nafakhum Para,বিজয়মনি পাড়া ও নাফাখুম পাড়া,TIN601,21.720888,92.533198,96,,,,,,,,,,,,,,,,,,,,
236,Bandarban,Thanchi,236,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,06,,,,Chingthoiang Headman Para,চিংথোয়াইঅং হেডম্যান পাড়া,TIN602,21.689868,92.522724,188,,,,,,,,,,,,,,,,,,,,
237,Bandarban,Thanchi,237,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,06,,,,Oilaoya Para,ঐলাওয়া পাড়া,TIN603,21.745160,92.536524,44,,,,,,,,,,,,,,,,,,,,
238,Bandarban,Thanchi,238,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,06,,,,Chaodong Para,ছাওদং পাড়া,TIN605,21.734747,92.505337,148,,,,,,,,,,,,,,,,,,,,
239,Bandarban,Thanchi,239,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,06,,,,Painggyahri Para,পাইংগ্যহ্রী পাড়া,TIN606,21.682367,92.524999,28,,,,,,,,,,,,,,,,,,,,
240,Bandarban,Thanchi,240,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Jinnah Para,জিন্নাহ পাড়া,TIN701,21.758194,92.535596,100,,,,,,,,,,,,,,,,,,,,
241,Bandarban,Thanchi,241,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Atirang Para,অতিরাং পাড়া,TIN702,21.777866,92.534311,76,,,,,,,,,,,,,,,,,,,,
242,Bandarban,Thanchi,242,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Antaha Para,অন্তহা পাড়া,TIN703,21.733858,92.551969,100,,,,,,,,,,,,,,,,,,,,
243,Bandarban,Thanchi,243,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Thuisa Para,থুইসা পাড়া,TIN704,21.765156,92.532566,64,,,,,,,,,,,,,,,,,,,,
244,Bandarban,Thanchi,244,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Lalmohon Para,লালমোহন পাড়া,TIN705,21.758471,92.551116,32,,,,,,,,,,,,,,,,,,,,
